# x_hat,full-stokes min,full-stokes max,full-stokes mean,higher-order min,higher-order max,higher-order mean
7.099999999999999645e-01,1.598742442855239787e+01,1.599895500287586003e+01,1.599624878490555524e+01,4.150828530805353189e+00,1.634481166680704689e+01,1.213257230000916564e+01
7.199999999999999734e-01,1.598752442951643182e+01,1.599913100078875772e+01,1.599641989584040935e+01,4.150820959248735953e+00,1.634562255441343837e+01,1.213146247421810209e+01
7.299999999999999822e-01,1.598762443048104842e+01,1.599925400201033199e+01,1.599652617155727441e+01,4.150813144733246141e+00,1.634599274552758530e+01,1.213095033257808808e+01
7.399999999999999911e-01,1.598772443144624056e+01,1.599937700290757725e+01,1.599662142276150156e+01,4.150806167668740443e+00,1.634636195969305561e+01,1.213046133009644301e+01
7.500000000000000000e-01,1.598782443241201179e+01,1.599939999671556556e+01,1.599665877443852047e+01,4.150798802322668735e+00,1.634645432090245976e+01,1.213074754609350236e+01
7.600000000000000089e-01,1.598772443144624056e+01,1.599935899798376759e+01,1.599660699114464002e+01,4.150790204461745958e+00,1.634637184283606359e+01,1.213148075116026092e+01
7.700000000000000178e-01,1.598762443048104842e+01,1.599930400170022438e+01,1.599654716770110063e+01,4.150770574133805013e+00,1.634619815569491763e+01,1.213198477160402255e+01
7.800000000000000266e-01,1.598752442951643182e+01,1.599918100039245061e+01,1.599642063924313184e+01,4.150748579325393095e+00,1.634558197114038336e+01,1.213298730155561778e+01
7.900000000000000355e-01,1.598742442855239787e+01,1.599905799953794983e+01,1.599628082890437142e+01,4.150715819337810863e+00,1.634498091054996038e+01,1.213376929569545482e+01
8.000000000000000444e-01,1.598732442758893946e+01,1.599884000166363229e+01,1.599608705774920736e+01,4.150676587594436029e+00,1.634401954514294175e+01,1.213383189408845553e+01
8.100000000000000533e-01,1.598702442458963979e+01,1.599855299835914302e+01,1.599580345690774763e+01,4.150620852756680357e+00,1.634291099635992239e+01,1.213387567334992845e+01
8.200000000000000622e-01,1.598672442159117857e+01,1.599824199340037723e+01,1.599550670458816093e+01,4.150540408036193618e+00,1.634165880932319581e+01,1.213361150536439581e+01
8.300000000000000711e-01,1.598642441859355223e+01,1.599787298921463297e+01,1.599516217223508718e+01,4.150444764010732257e+00,1.634005901117923187e+01,1.213251667385502763e+01
8.399999999999999689e-01,1.598612441559676078e+01,1.599750398667032769e+01,1.599481456769694354e+01,4.150313284137605585e+00,1.633847923287288140e+01,1.213144251248461103e+01
8.499999999999999778e-01,1.598582441260080245e+01,1.599712499966079271e+01,1.599445309023717776e+01,4.150162079602787379e+00,1.633652614419916205e+01,1.213007128321442885e+01
8.599999999999999867e-01,1.598548440687162220e+01,1.599671501106149307e+01,1.599407403930290172e+01,4.149981266931909829e+00,1.633447568671475381e+01,1.212846598386012253e+01
