# y_hat,full-stokes min,full-stokes max,full-stokes mean,full-stokes std,higher-order min,higher-order max,higher-order mean,higher-order std
5.600000000000000533e-01,-3.600545354580686475e+00,-2.787767600000016444e+00,-3.194156477290351681e+00,4.063888772903350155e-01,-4.389999999999999680e+00,3.259999999999992237e+00,-1.318315892886280594e+00,3.019667089067177290e+00
5.700000000000000622e-01,-7.115262235509865363e+00,-6.468609200000033255e+00,-6.791935717754949309e+00,3.233265177549160541e-01,-8.949999999999999289e+00,-4.800000000000155254e-01,-5.464080870014890401e+00,3.004635766165238753e+00
5.799999999999999600e-01,-1.011407563939564369e+01,-9.476824000000000581e+00,-9.795449819697822136e+00,3.186258196978215551e-01,-1.282000000000000028e+01,-4.219999999999982876e+00,-9.249080934548743471e+00,2.885191564486621729e+00
5.899999999999999689e-01,-1.260702154884390502e+01,-1.181241200000000013e+01,-1.220971677442195258e+01,3.973047744219524446e-01,-1.594999999999999929e+01,-7.959999999999991083e+00,-1.243486075992647422e+01,2.559507851809249335e+00
5.999999999999999778e-01,-1.457197722181231292e+01,-1.414799999999999969e+01,-1.435998861090615719e+01,2.119886109061566160e-01,-1.837000000000000099e+01,-1.169999999999999929e+01,-1.516020079098091244e+01,2.148195353646972894e+00
6.099999999999999867e-01,-1.585299497827292470e+01,-1.521260000000000012e+01,-1.553279748913646330e+01,3.201974891364622877e-01,-2.012000000000000099e+01,-1.256599999999999895e+01,-1.665352906825623336e+01,2.664471224862067444e+00
6.199999999999999956e-01,-1.675689589727252837e+01,-1.627720000000000056e+01,-1.651704794863626446e+01,2.398479486362639079e-01,-2.130797417876745570e+01,-1.343200000000000038e+01,-1.790118025401675794e+01,3.030240369273695222e+00
6.300000000000000044e-01,-1.732595267468984090e+01,-1.689122000000000057e+01,-1.710858633734492074e+01,2.173663373449201686e-01,-2.292248766398178006e+01,-1.429800000000000004e+01,-1.864681595917635448e+01,3.286909982102364403e+00
6.400000000000000133e-01,-1.747054525759567412e+01,-1.705465999999999838e+01,-1.726260262879783625e+01,2.079426287978378696e-01,-2.453690354915327987e+01,-1.516400000000000148e+01,-1.921534213621065845e+01,3.561939432663791649e+00
6.500000000000000222e-01,-1.738785380044563311e+01,-1.721809999999999974e+01,-1.730297690022281643e+01,8.487690022281668689e-02,-2.535899066342323493e+01,-1.603000000000000114e+01,-1.950127741854393548e+01,3.664695916176130108e+00
6.600000000000000311e-01,-1.715252108799877817e+01,-1.688886000000000109e+01,-1.702069054399938963e+01,1.318305439993885386e-01,-2.609056993904652444e+01,-1.569400000000000084e+01,-1.938136338102020417e+01,4.013032491537387614e+00
6.700000000000000400e-01,-1.673265494764057593e+01,-1.655961999999999890e+01,-1.664613747382028919e+01,8.651747382028851518e-02,-2.666921432909299483e+01,-1.535800000000000054e+01,-1.920426070037611765e+01,4.296496663884679990e+00
6.800000000000000488e-01,-1.624097376804638060e+01,-1.613550000000000040e+01,-1.618823688402319050e+01,5.273688402319010038e-02,-2.694193602908932661e+01,-1.502199999999999847e+01,-1.892564128881911145e+01,4.486190996991903823e+00
6.900000000000000577e-01,-1.570348972618462291e+01,-1.561649999999999494e+01,-1.565999486309230804e+01,4.349486309231398451e-02,-2.721470286909803349e+01,-1.468599999999999639e+01,-1.864796452386935499e+01,4.670365502874565422e+00
7.000000000000000666e-01,-1.512775215199548207e+01,-1.509749999999999481e+01,-1.511262607599773844e+01,1.512607599774362654e-02,-2.716500258535597112e+01,-1.434999999999999609e+01,-1.829781937309547146e+01,4.748976050301232377e+00
7.099999999999999645e-01,-1.455858000000000096e+01,-1.455603819320121950e+01,-1.455730909660061023e+01,1.270903399390732602e-03,-2.701852752025581239e+01,-1.384999999999999964e+01,-1.790489709883116376e+01,4.824935456014255664e+00
7.199999999999999734e-01,-1.401966000000000179e+01,-1.398956822054651283e+01,-1.400461411027325731e+01,1.504588972674447689e-02,-2.678773846917829360e+01,-1.334999999999999964e+01,-1.749712128861565930e+01,4.881321366757289226e+00
7.299999999999999822e-01,-1.350609999999999999e+01,-1.345211868606685357e+01,-1.347910934303342678e+01,2.699065696657321212e-02,-2.623037413655814021e+01,-1.284999999999999964e+01,-1.700668553789873627e+01,4.831992750549865434e+00
7.399999999999999911e-01,-1.301790000000000092e+01,-1.292725496864064638e+01,-1.297257748432032365e+01,4.532251567967726658e-02,-2.567294392391800528e+01,-1.235000000000000142e+01,-1.653001115292728329e+01,4.784385859792281259e+00
7.500000000000000000e-01,-1.252970000000000006e+01,-1.244727372855986758e+01,-1.248848686427993471e+01,4.121313572006624071e-02,-2.488709977156183228e+01,-1.184999999999999964e+01,-1.595707713972199926e+01,4.674364264253652479e+00
7.600000000000000089e-01,-1.210894000000000048e+01,-1.198601616709012418e+01,-1.204747808354506233e+01,6.146191645493814804e-02,-2.397335562690169297e+01,-1.147800000000000153e+01,-1.540470998913193412e+01,4.483426329836251334e+00
7.700000000000000178e-01,-1.168817999999999913e+01,-1.155805355505153109e+01,-1.162311677752576600e+01,6.506322247423401706e-02,-2.304734399440428305e+01,-1.110599999999999987e+01,-1.479681350946928298e+01,4.311416342252121225e+00
7.800000000000000266e-01,-1.129856000000000016e+01,-1.115909176425812532e+01,-1.122882588212906185e+01,6.973411787093741765e-02,-2.197393934825525719e+01,-1.073399999999999999e+01,-1.417207042079309609e+01,4.082296369462931729e+00
7.900000000000000355e-01,-1.094008000000000003e+01,-1.078061393845930027e+01,-1.086034696922964926e+01,7.973303077034987751e-02,-2.090059143213335346e+01,-1.036200000000000010e+01,-1.352977391296986376e+01,3.870823230923305491e+00
8.000000000000000444e-01,-1.058159999999999989e+01,-1.043644903000303970e+01,-1.050902451500152068e+01,7.257548499848009982e-02,-1.982041016532525646e+01,-9.990000000000000213e+00,-1.289409136852514770e+01,3.669664114123142973e+00
8.100000000000000533e-01,-1.027471999999999852e+01,-1.010257634234497637e+01,-1.018864817117248833e+01,8.607182882751107655e-02,-1.873371234005107766e+01,-9.574136316159219007e+00,-1.231838733124206087e+01,3.440206277635122323e+00
8.200000000000000622e-01,-9.967839999999995371e+00,-9.804480370554514934e+00,-9.886160185277255152e+00,8.167981472274021826e-02,-1.764697791479593292e+01,-8.746777585016317857e+00,-1.174868629996244884e+01,3.229227910612333829e+00
8.300000000000000711e-01,-9.681687999999997629e+00,-9.510081283736234070e+00,-9.595884641868115850e+00,8.580335813188177951e-02,-1.665644680838639857e+01,-8.244847774319353562e+00,-1.127175531654114948e+01,3.005489139250375086e+00
8.399999999999999689e-01,-9.416263999999999967e+00,-9.249734313005751218e+00,-9.332999156502875593e+00,8.326484349712437449e-02,-1.567102071593263801e+01,-7.743067729818249312e+00,-1.080431888915017780e+01,2.791732727448743567e+00
8.499999999999999778e-01,-9.150840000000000529e+00,-8.990905707764609289e+00,-9.070872853882304909e+00,7.996714611769561998e-02,-1.474893804619707893e+01,-7.690998013530067290e+00,-1.044349321194543023e+01,2.509776336482271386e+00
8.599999999999999867e-01,-8.918552000000000035e+00,-8.760384178205757877e+00,-8.839468089102879844e+00,7.908391089712107913e-02,-1.392829334564304133e+01,-7.639112754103770442e+00,-1.011745681994936419e+01,2.261866334926968758e+00
8.699999999999999956e-01,-8.686263999999999541e+00,-8.531182994149146381e+00,-8.608723497074572961e+00,7.754050292542657985e-02,-1.310775539512468768e+01,-7.955070816317755700e+00,-9.867010442288489003e+00,1.941959646798893546e+00
8.800000000000000044e-01,-8.467255999999999005e+00,-8.326130846680355191e+00,-8.396693423340177986e+00,7.056257665982190730e-02,-1.247840907649907116e+01,-8.172000000000000597e+00,-9.661767430247589772e+00,1.702511281039021052e+00
8.900000000000000133e-01,-8.261528000000000205e+00,-8.121177396317859731e+00,-8.191352698158929968e+00,7.017530184107023672e-02,-1.189083463639038385e+01,-7.955999999999999517e+00,-9.485884346725589111e+00,1.489704072119631073e+00
9.000000000000000222e-01,-8.055799999999999628e+00,-7.938474630950165256e+00,-7.997137315475082886e+00,5.866268452491718577e-02,-1.136500816932594482e+01,-7.740000000000000213e+00,-9.326357770864763808e+00,1.341716781277178638e+00
9.100000000000000311e-01,-7.871328000000000102e+00,-7.755771865582469893e+00,-7.813549932791234554e+00,5.777806720876510482e-02,-1.101837843306740261e+01,-7.630000000000000782e+00,-9.194213769198656294e+00,1.264019786390303990e+00
9.200000000000000400e-01,-7.686856000000000577e+00,-7.589748258151495897e+00,-7.638302129075748681e+00,4.855387092425234030e-02,-1.067163279678031351e+01,-7.519999999999999574e+00,-9.066030386483792114e+00,1.215628386015091378e+00
9.300000000000000488e-01,-7.510761999999999716e+00,-7.425425432971840323e+00,-7.468093716485920019e+00,4.266828351407969677e-02,-1.040032735482271775e+01,-7.410000000000000142e+00,-8.900530415542265317e+00,1.181223460813401349e+00
9.400000000000000577e-01,-7.343045999999998408e+00,-7.273315509882399610e+00,-7.308180754941199453e+00,3.486524505879939895e-02,-1.016262051524782706e+01,-7.299999999999998934e+00,-8.745815702732564034e+00,1.158294063229653004e+00
9.500000000000000666e-01,-7.175329999999997987e+00,-7.125066729998687620e+00,-7.150198364999342360e+00,2.513163500065518363e-02,-9.906521288183540719e+00,-7.189999999999999503e+00,-8.508072331070172467e+00,1.089673767028042528e+00
9.599999999999999645e-01,-7.020310000000000272e+00,-6.983480097023766042e+00,-7.001895048511883601e+00,1.841495148811711502e-02,-9.524685854179747224e+00,-7.103712000000000693e+00,-8.269382636889272220e+00,9.727904708207716356e-01
9.699999999999999734e-01,-6.865289999999999893e+00,-6.847124529284052130e+00,-6.856207264642026011e+00,9.082735357973881207e-03,-9.142649120095065030e+00,-6.941944000000000337e+00,-7.945301227574191216e+00,8.819082690753333731e-01
9.799999999999999822e-01,-6.714621999999999424e+00,-6.713489626516652820e+00,-6.714055813258326566e+00,5.661867416733024072e-04,-8.630000000000000782e+00,-6.769118578053907598e+00,-7.576986362211444614e+00,8.329662566736303342e-01
9.899999999999999911e-01,-6.585986658258326187e+00,-6.568305999999999756e+00,-6.577146329129162972e+00,8.840329129163215782e-03,-8.449999999999999289e+00,-6.111966763747918918e+00,-7.221144416045871317e+00,8.199799703413366281e-01
1.000000000000000000e+00,-6.458483689999999555e+00,-6.421990000000000087e+00,-6.440236844999999377e+00,1.824684499999973397e-02,-8.269999999999999574e+00,-5.454892551521554722e+00,-6.865300910304310555e+00,9.158993216749682365e-01
