# x_hat,full-stokes min,full-stokes max,full-stokes mean,higher-order min,higher-order max,higher-order mean
7.600000000000000089e-01,3.717633935316109728e+01,4.064653752561100220e+01,3.973471750694462656e+01,3.201459692049856187e+01,4.785626291177973002e+01,4.110140595584887535e+01
7.700000000000000178e-01,3.710831262329455171e+01,4.056508853619053667e+01,3.967351358308316378e+01,3.199042745188267389e+01,4.777941419297428638e+01,4.106333777112103434e+01
7.800000000000000266e-01,3.704028595084307085e+01,4.045643783118099179e+01,3.957986556804733880e+01,3.193023861313698575e+01,4.756391569606788750e+01,4.098041206192637986e+01
7.900000000000000355e-01,3.697225933612358517e+01,4.031847349972805716e+01,3.947151874113446013e+01,3.186975813166044347e+01,4.734820783117877596e+01,4.087749501367086680e+01
8.000000000000000444e-01,3.690423277945534153e+01,4.014610638923492303e+01,3.932231148039667090e+01,3.176062489512973031e+01,4.698804514707688185e+01,4.070801824546590808e+01
8.100000000000000533e-01,3.683620628115996709e+01,3.986651368195067136e+01,3.911178589564904939e+01,3.163606113275320908e+01,4.657750238084621941e+01,4.045335106872433073e+01
8.200000000000000622e-01,3.676817984156144803e+01,3.954234772596536374e+01,3.886637044885318204e+01,3.148219157473030094e+01,4.609933691248996723e+01,4.017360679100836762e+01
8.300000000000000711e-01,3.670015346098618636e+01,3.918554375638343856e+01,3.857277457275817767e+01,3.125750523000308334e+01,4.545776104041596710e+01,3.982369038515282966e+01
8.399999999999999689e-01,3.628149491494049528e+01,3.879325739154007380e+01,3.820731250051944983e+01,3.103174234287485689e+01,4.481512315135702806e+01,3.944133958904649262e+01
8.499999999999999778e-01,3.568752028853168667e+01,3.832796408612595229e+01,3.775130646394776335e+01,3.069853516671665972e+01,4.396956368350517863e+01,3.895421833271909406e+01
8.599999999999999867e-01,3.509354568658145723e+01,3.779561041312931735e+01,3.722629367572304915e+01,3.034757821066781247e+01,4.308898791604563172e+01,3.839412470554835011e+01
8.699999999999999956e-01,3.449957111035308088e+01,3.718905206243506711e+01,3.665523848248862748e+01,2.994545169829119402e+01,4.229505792642918749e+01,3.778818353329460678e+01
8.800000000000000044e-01,3.390559656119839360e+01,3.654631534109480384e+01,3.602985900697940735e+01,2.947107446369725636e+01,4.131169692445201491e+01,3.707904997594006602e+01
8.900000000000000133e-01,3.331162204056563070e+01,3.587008555389497388e+01,3.537835904121874364e+01,2.899711016140415154e+01,4.032837552173683804e+01,3.633904411511714017e+01
9.000000000000000222e-01,3.271764755000820202e+01,3.509403842371340687e+01,3.465766372387402328e+01,2.843383022059748555e+01,3.934511469039072296e+01,3.553215757353462578e+01
9.100000000000000311e-01,3.212367309119442638e+01,3.431739281289182486e+01,3.389121759004468259e+01,2.786840710785407182e+01,3.813854924992413942e+01,3.462447671253595871e+01
9.200000000000000400e-01,3.141603576391769082e+01,3.345729070062117216e+01,3.308021756106359135e+01,2.727739210334341635e+01,3.693191953521446180e+01,3.369499707110674080e+01
9.300000000000000488e-01,3.048107265225848650e+01,3.256901144294728567e+01,3.219486940863458102e+01,2.666297898561096957e+01,3.572520153896965667e+01,3.272829217910903310e+01
9.400000000000000577e-01,2.954610954264645173e+01,3.165948137187574218e+01,3.128397361052166303e+01,2.604634087192361491e+01,3.468765144111085164e+01,3.176430684402108184e+01
9.500000000000000666e-01,2.861114643528226154e+01,3.068726608569154735e+01,3.032913795409846713e+01,2.540971164291242701e+01,3.365010735495505401e+01,3.077206944361449104e+01
9.599999999999999645e-01,2.767618333039375500e+01,2.971580632547681589e+01,2.936307572715080383e+01,2.477378734997146736e+01,3.261767714752232905e+01,2.974635850317707053e+01
9.699999999999999734e-01,2.674122022824057865e+01,2.874894741358212613e+01,2.837554643068969895e+01,2.412348616615021868e+01,3.158526753092333905e+01,2.869885545518338432e+01
9.799999999999999822e-01,2.580625712912003777e+01,2.776516462107621308e+01,2.736400826506627482e+01,2.345956541939662543e+01,3.022186685350710178e+01,2.760588664067599396e+01
9.899999999999999911e-01,nan,nan,nan,nan,nan,nan
1.000000000000000000e+00,nan,nan,nan,nan,nan,nan
