x,y,z mean,z stdev,z min,z max,vs_x stdev,vs_x min,vs_x max,vs_y mean,vs_y stdev,vs_y min,vs_y max,vs_z mean,vs_z stdev,vs_z min,vs_z max
-45.000000,45.000000,0.936901,2.290756,-1.340000,4.411441,149.410298,50.163474,99.175900,200.634547,-0.113090,0.040624,-0.170000,-0.069686,-0.041458,0.078377,-0.177103,0.008800
-45.000000,47.500000,1.014075,2.278756,-1.265000,4.471672,149.436594,50.175314,99.190900,200.666017,-0.068742,0.031616,-0.120000,-0.034519,-0.040641,0.078808,-0.176973,0.011150
-45.000000,50.000000,1.069720,2.248348,-1.190000,4.491235,149.452166,50.181310,99.205900,200.664696,-0.024913,0.028799,-0.070000,0.000357,-0.039857,0.079289,-0.176949,0.013500
-42.500000,-50.000000,1.237946,2.763639,-1.325000,5.693416,149.523206,50.307252,99.160700,201.122759,0.026295,0.030657,0.000001,0.075000,-0.011417,0.032985,-0.067996,0.014850
-42.500000,-47.500000,1.202967,2.775227,-1.390000,5.671750,149.508766,50.302419,99.145700,201.113879,0.063086,0.020524,0.034726,0.090000,-0.011982,0.032512,-0.067853,0.013250
-42.500000,-45.000000,1.125026,2.785729,-1.465000,5.608992,149.482981,50.291413,99.130700,201.085032,0.108742,0.034000,0.069949,0.145017,-0.012629,0.031755,-0.067344,0.010900
-42.500000,-42.500000,1.004200,2.798564,-1.610000,5.506259,149.455287,50.292302,99.095750,201.046719,0.161734,0.056240,0.105000,0.220869,-0.013065,0.031033,-0.066507,0.010100
-42.500000,-40.000000,0.858325,2.795941,-1.760000,5.361528,149.402290,50.274204,99.060550,200.984438,0.208970,0.071199,0.135000,0.297701,-0.011660,0.030890,-0.064910,0.010900
-42.500000,-37.500000,0.646781,2.809956,-1.980000,5.173871,149.344397,50.263337,99.010600,200.902460,0.256078,0.088526,0.160000,0.372865,-0.011325,0.030263,-0.063204,0.013000
-42.500000,-35.000000,0.416013,2.800483,-2.185000,4.940272,149.256699,50.229606,98.960400,200.799409,0.293687,0.102704,0.185000,0.449536,-0.009434,0.030140,-0.060947,0.015700
-42.500000,-32.500000,0.164129,2.774704,-2.445000,4.663641,149.177039,50.214701,98.900200,200.671118,0.326283,0.123094,0.200000,0.526421,-0.008920,0.028523,-0.058004,0.012550
-42.500000,-30.000000,-0.144327,2.758333,-2.735000,4.346335,149.067972,50.180047,98.835050,200.518997,0.359957,0.143319,0.220000,0.599160,-0.007950,0.026813,-0.054238,0.010500
-42.500000,-27.500000,-0.475328,2.730426,-3.065000,3.989879,148.951778,50.152217,98.754900,200.342137,0.386782,0.163701,0.235000,0.663111,-0.005282,0.025738,-0.049467,0.014700
-42.500000,-25.000000,-0.817223,2.680066,-3.360000,3.595493,148.831115,50.123799,98.680000,200.140622,0.414911,0.179508,0.245000,0.716824,-0.003531,0.024459,-0.044660,0.019700
-42.500000,-22.500000,-1.170380,2.621848,-3.665000,3.175768,148.687390,50.083046,98.594900,199.917677,0.418549,0.200867,0.240000,0.755940,-0.002163,0.021453,-0.038505,0.017100
-42.500000,-20.000000,-1.561573,2.579986,-4.025000,2.736754,148.547073,50.052862,98.495416,199.678326,0.422641,0.211146,0.240000,0.776092,-0.000209,0.019016,-0.032351,0.016900
-42.500000,-17.500000,-1.934648,2.530155,-4.370000,2.296623,148.401105,50.019067,98.359790,199.430382,0.407066,0.218892,0.230000,0.770416,0.001958,0.015998,-0.025002,0.016100
-42.500000,-15.000000,-2.269526,2.464286,-4.650000,1.862724,148.271674,49.997110,98.223082,199.179662,0.381401,0.216704,0.200000,0.738009,0.005018,0.013909,-0.017912,0.018500
-42.500000,-12.500000,-2.576019,2.400049,-4.880000,1.451817,148.137994,49.966484,98.090846,198.937531,0.346098,0.202041,0.175000,0.677197,0.007566,0.011659,-0.011307,0.019050
-42.500000,-10.000000,-2.876987,2.373428,-5.170000,1.090248,148.018640,49.946033,97.971968,198.719293,0.294537,0.179369,0.135000,0.586317,0.010404,0.009730,-0.004490,0.020900
