x,y,z mean,z stdev,z min,z max,vs_x stdev,vs_x min,vs_x max,vs_y mean,vs_y stdev,vs_y min,vs_y max,vs_z mean,vs_z stdev,vs_z min,vs_z max
-47.500000,7.500000,-6.354915,0.663073,-7.017989,-5.691842,147.983239,49.935740,98.047499,197.918979,-0.360836,0.079031,-0.439867,-0.281806,0.008154,0.017053,-0.008899,0.025207
-47.500000,10.000000,-5.974735,0.617282,-6.592016,-5.357453,148.127831,49.948855,98.178976,198.076686,-0.452148,0.100636,-0.552784,-0.351512,0.006173,0.015851,-0.009678,0.022024
-47.500000,12.500000,-5.519040,0.564642,-6.083682,-4.954398,148.299300,49.964681,98.334619,198.263981,-0.520674,0.118304,-0.638979,-0.402370,0.003926,0.014422,-0.010496,0.018349
-47.500000,15.000000,-5.015894,0.509306,-5.525200,-4.506589,148.486267,49.982357,98.503910,198.468625,-0.565954,0.131710,-0.697664,-0.434244,0.001625,0.012837,-0.011211,0.014462
-47.500000,17.500000,-4.484081,0.453795,-4.937876,-4.030285,148.680951,50.001133,98.679817,198.682084,-0.589329,0.140811,-0.730140,-0.448517,-0.000608,0.011173,-0.011781,0.010565
-47.500000,20.000000,-3.939357,0.399832,-4.339189,-3.539524,148.876166,50.020212,98.855953,198.896378,-0.589989,0.145041,-0.735031,-0.444948,-0.002634,0.009497,-0.012131,0.006862
-47.500000,22.500000,-3.407450,0.351438,-3.758888,-3.056011,149.063439,50.039070,99.024369,199.102509,-0.573394,0.145251,-0.718646,-0.428143,-0.004365,0.007856,-0.012220,0.003491
-47.500000,25.000000,-2.901776,0.310317,-3.212093,-2.591459,149.237641,50.057083,99.180558,199.294724,-0.541184,0.141467,-0.682652,-0.399717,-0.005739,0.006312,-0.012051,0.000574
-47.500000,27.500000,-2.428010,0.275349,-2.703359,-2.152661,149.397059,50.073772,99.323287,199.470831,-0.497949,0.134468,-0.632416,-0.363481,-0.006783,0.004899,-0.011682,-0.001883
-47.500000,30.000000,-2.005624,0.248340,-2.253964,-1.757284,149.535567,50.088708,99.446859,199.624276,-0.446597,0.124391,-0.570988,-0.322206,-0.007455,0.003640,-0.011095,-0.003815
-47.500000,32.500000,-1.627293,0.226753,-1.854047,-1.400540,149.656244,50.101673,99.554570,199.757917,-0.390097,0.112150,-0.502247,-0.277947,-0.007852,0.002556,-0.010407,-0.005296
-47.500000,35.000000,-1.303396,0.212554,-1.515949,-1.090842,149.757602,50.113090,99.644512,199.870692,-0.332264,0.098372,-0.430636,-0.233892,-0.008026,0.001615,-0.009640,-0.006411
